X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
192.0,192.0,train,0.003215881450589365,55.960882959938345,0.7120652139260107
193.0,193.0,train,0.003557580237399737,91.72228111550834,0.7477435821288139
194.0,194.0,train,0.003546566593980003,88.88216145763379,0.7466656877725468
195.0,195.0,train,0.0034534741918543837,76.61616581371881,0.7373688641303979
196.0,196.0,train,0.0028870324954420354,44.014834837655236,0.6729715566944949
197.0,197.0,train,0.003470091546035683,78.69454113537984,0.7390530444420321
198.0,198.0,train,0.0025507811152100457,33.20900964408563,0.6275040689701541
199.0,199.0,train,0.0024479032692604147,28.715172972000282,0.6123685408277
200.0,200.0,train,0.0032353252624878195,59.82748548459028,0.7142245423740102
201.0,201.0,train,0.002271017522893746,20.174206999872503,0.5848931491103007
202.0,202.0,train,0.002271017522893746,20.174206999872503,0.5848931491103007
203.0,203.0,train,0.003546566593980003,88.88216145763379,0.7466656877725468
204.0,204.0,train,0.002317832337671123,21.553104493389835,0.5923488806378479
205.0,205.0,train,0.00292712036030442,45.760480600168044,0.6780078317341751
206.0,206.0,train,0.0036860558107959167,95.71452150982262,0.759983643647872
207.0,207.0,train,0.0035226415606361096,84.29059206019305,0.7443082719796823
208.0,208.0,train,0.0035380244018495045,87.46802851916405,0.7458265014209106
209.0,209.0,train,0.003110028893863056,50.89308514944583,0.7000203628401862
210.0,210.0,train,0.003665532804009772,94.97839317433635,0.7580690128673022
211.0,211.0,train,0.00290523204615456,44.88527928207953,0.6752676727145843
212.0,212.0,train,0.0016019344426479864,7.798948064259901,0.46215524076326264
213.0,213.0,train,0.0029205846283130213,45.467957619294765,0.6771920652784691
214.0,214.0,train,0.00352514270777108,84.99633572987489,0.7445557418933296
215.0,215.0,train,0.003533779759483897,86.7587562127252,0.7454084737826707
216.0,216.0,train,0.0035446365667843064,88.17408526410222,0.7464763241969004
217.0,217.0,train,0.003547110893517637,91.01155340362308,0.746719065854134
218.0,218.0,train,0.003162352156487469,53.405668292457385,0.706035867110889
219.0,219.0,train,0.003411954354158363,73.18162690561836,0.7331131370917936
220.0,220.0,train,0.003460173433996406,76.96269007044532,0.7380491407647112
221.0,221.0,train,0.00352514270777108,84.99633572987489,0.7445557418933296
222.0,222.0,train,0.002430104595013035,26.762254960390344,0.6096882583482578
