Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.56399E-3,7.068221526,0.454195355,0.567986231,0.037931034,0
1.56406E-3,7.381026372,0.454210962,0.56454389,0.044827586,0
1.56992E-3,7.53801814,0.45544705,0.562822719,0.044827586,0
1.60932E-3,7.859143175,0.463690055,0.559380379,0.048275862,0
1.61687E-3,8.020829825,0.465255504,0.557659208,0.048275862,0
1.63724E-3,8.51067314,0.46945687,0.552495697,0.055172414,0
1.69049E-3,8.845167096,0.480282668,0.549053356,0.055172414,0
1.69049E-3,9.014216306,0.480282668,0.545611015,0.055172414,0
1.69203E-3,9.352598882,0.480592104,0.543889845,0.062068966,0
1.6942E-3,9.522018958,0.481028343,0.542168675,0.065517241,0
1.70166E-3,9.862084533,0.482523918,0.538726334,0.065517241,0
1.71284E-3,10.033368966,0.484760699,0.537005164,0.068965517,0
1.73111E-3,10.37863713,0.488390901,0.533562823,0.072413793,0
1.77284E-3,10.555920793,0.496589685,0.531841652,0.075862069,0
1.80173E-3,10.914279878,0.502190331,0.528399312,0.075862069,0
1.80909E-3,11.095188866,0.503605881,0.526678141,0.079310345,0
1.81761E-3,11.276949448,0.505239761,0.524956971,0.082758621,0
1.8675E-3,12.008980707,0.514704129,0.518072289,0.096551724,0
1.88925E-3,12.385115599,0.518774171,0.514629948,0.096551724,0
1.89215E-3,12.574330857,0.51931476,0.512908778,0.096551724,0
1.89854E-3,12.764185138,0.520502488,0.511187608,0.096551724,0
1.91177E-3,13.146010665,0.522951415,0.507745267,0.1,0
1.92401E-3,13.338411625,0.525206822,0.506024096,0.1,0
1.92614E-3,13.5310261,0.525599132,0.504302926,0.103448276,0
1.93552E-3,13.917192616,0.527317975,0.500860585,0.110344828,0
1.97236E-3,14.114428728,0.534011893,0.499139415,0.110344828,0
1.97918E-3,14.312346434,0.53523991,0.497418244,0.113793103,0
1.97918E-3,14.51026414,0.53523991,0.493975904,0.113793103,0
1.99067E-3,14.908173501,0.537303647,0.492254733,0.124137931,0
1.9917E-3,15.107343743,0.537488153,0.490533563,0.124137931,0
1.99216E-3,15.306559863,0.537570294,0.488812392,0.124137931,0
2.00649E-3,15.507208663,0.540128103,0.487091222,0.124137931,0
2.05543E-3,15.916764235,0.548759883,0.483648881,0.131034483,0
2.05849E-3,16.122613006,0.549293479,0.481927711,0.131034483,0
2.05849E-3,16.328461777,0.549293479,0.47848537,0.131034483,0
2.06063E-3,16.534524288,0.549666279,0.47848537,0.137931034,0
2.07788E-3,16.949382342,0.552664127,0.475043029,0.14137931,0
2.07788E-3,17.572745574,0.552664127,0.468158348,0.14137931,0
2.08505E-3,17.781250759,0.553904903,0.468158348,0.155172414,0
2.0993E-3,18.20029868,0.556358006,0.464716007,0.15862069,0
2.10926E-3,18.411224534,0.558065986,0.462994836,0.162068966,0
2.10983E-3,18.622207737,0.558164093,0.461273666,0.162068966,0
2.13568E-3,18.835775723,0.562563467,0.459552496,0.162068966,0
2.19137E-3,19.054912301,0.57189309,0.457831325,0.165517241,0
2.20639E-3,19.275550838,0.574375223,0.456110155,0.168965517,0
2.22973E-3,19.721162469,0.578205012,0.452667814,0.172413793,0
2.25994E-3,19.947156019,0.583108357,0.450946644,0.175862069,0
2.27102E-3,20.174257772,0.584893149,0.449225473,0.179310345,0
2.27102E-3,20.401359524,0.584893149,0.445783133,0.179310345,0
2.28328E-3,20.629687859,0.586859689,0.445783133,0.186206897,0
2.29363E-3,20.859050378,0.588510521,0.444061962,0.186206897,0
2.31066E-3,21.090116801,0.591216031,0.442340792,0.189655172,0
2.31179E-3,21.321295964,0.591394413,0.440619621,0.193103448,0
2.31783E-3,21.553079198,0.592348881,0.438898451,0.196551724,0
2.33945E-3,21.787024137,0.595746274,0.437177281,0.2,0
2.34056E-3,22.021079684,0.595919346,0.43545611,0.203448276,0
2.34081E-3,22.255160968,0.595959604,0.43373494,0.203448276,0
2.34081E-3,23.425567383,0.595959604,0.423407917,0.203448276,0
2.34268E-3,23.659834994,0.596250959,0.423407917,0.224137931,0
2.35392E-3,23.895227062,0.598004785,0.421686747,0.224137931,0
2.35409E-3,24.130635893,0.598030871,0.419965577,0.227586207,0
2.35864E-3,24.366499591,0.598738119,0.418244406,0.231034483,0
2.35864E-3,24.602363289,0.598738119,0.414802065,0.231034483,0
2.36891E-3,24.839253951,0.600330315,0.414802065,0.237931034,0
2.37016E-3,25.076269664,0.600523764,0.413080895,0.24137931,0
2.37122E-3,25.313392024,0.600688663,0.411359725,0.24137931,0
2.39936E-3,25.553328518,0.605015491,0.409638554,0.244827586,0
2.39936E-3,25.793265012,0.605015491,0.406196213,0.244827586,0
2.40258E-3,26.033523482,0.605507542,0.406196213,0.251724138,0
2.41685E-3,26.275208175,0.607679766,0.404475043,0.251724138,0
2.42952E-3,26.518159929,0.609599539,0.402753873,0.251724138,0
2.4301E-3,26.761170389,0.609688258,0.401032702,0.255172414,0
2.43216E-3,27.24739688,0.609998772,0.397590361,0.262068966,0
2.43946E-3,27.491342463,0.611098752,0.395869191,0.262068966,0
2.44272E-3,27.735614119,0.611589386,0.394148021,0.265517241,0
2.44592E-3,28.468749091,0.612070286,0.388984509,0.275862069,0
2.4479E-3,28.713539418,0.612368541,0.387263339,0.279310345,0
2.44839E-3,28.958378115,0.612441123,0.385542169,0.282758621,0
2.45518E-3,29.203895739,0.613458465,0.383820998,0.286206897,0
2.46511E-3,29.450406308,0.614941542,0.382099828,0.289655172,0
2.47056E-3,29.697462739,0.615754424,0.380378657,0.289655172,0
2.48071E-3,30.192590245,0.617260844,0.376936317,0.296551724,0
2.48878E-3,30.441467841,0.618454058,0.375215146,0.296551724,0
2.49395E-3,30.690863265,0.619218198,0.373493976,0.3,0
2.49482E-3,30.940344846,0.61934519,0.371772806,0.303448276,0
2.49752E-3,31.190097274,0.619744126,0.370051635,0.306896552,0
2.50238E-3,31.440334783,0.620457569,0.368330465,0.310344828,0
